"Year","Motor spirit:Premium unleaded / ULSP(Pence per litre)","Derv: Diesel / ULSD (Pence per litre)"
1977,.. ,18.21
1978,.. ,18.46
1979,.. ,23.65
1980,.. ,29.67
1981,.. ,34.01
1982,.. ,35.86
1983,.. ,37.30
1984,.. ,38.33
1985,.. ,41.94
1986,.. ,35.60
1987,.. ,34.58
1988,.. ,34.00
1989,38.29 ,36.18
1990,42.03 ,40.48
1991,45.07 ,43.82
1992,46.07 ,45.01
1993,49.44 ,49.20
1994,51.58 ,51.53
1995,53.77 ,54.24
1996,56.52 ,57.71
1997,61.82 ,62.47
1998,64.80 ,65.50
1999,70.16 ,72.49
2000,79.93 ,81.34
2001,75.72 ,77.84
2002,73.24 ,75.46
2003,76.04 ,77.92
2004,80.22 ,81.91
2005,86.75 ,90.86
2006,91.32 ,95.21
2007,94.24 ,96.85
2008,107.08 ,117.51
2009,99.29 ,103.93
2010,116.90 ,119.26
2011,133.27 ,138.72
2012,135.39 ,141.83
2013,134.15 ,140.41
2014,127.50 ,133.46
2015,111.13 ,114.90
2016,108.85 ,110.13
2017,117.59 ,120.15
2018,125.20 ,129.98
2019,124.88 ,131.48
2020,113.95 ,119.14
2021,131.27 ,134.94
2022,164.73 ,177.66
2023,147.75 ,158.19
2024,141.48 ,148.33
2025,135.07 ,142.55