"Title","CPIH ANNUAL RATE 00: ALL ITEMS 2015=100"
"CDID","L55O"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","%"
"Release date","18-02-2026"
"Next release","25 March 2026"
"Important notes",
"1989","5.7"
"1990","8.0"
"1991","7.5"
"1992","4.6"
"1993","2.6"
"1994","2.2"
"1995","2.7"
"1996","2.9"
"1997","2.2"
"1998","1.8"
"1999","1.7"
"2000","1.2"
"2001","1.6"
"2002","1.5"
"2003","1.4"
"2004","1.4"
"2005","2.1"
"2006","2.5"
"2007","2.4"
"2008","3.5"
"2009","2.0"
"2010","2.5"
"2011","3.8"
"2012","2.6"
"2013","2.3"
"2014","1.5"
"2015","0.4"
"2016","1.0"
"2017","2.6"
"2018","2.3"
"2019","1.7"
"2020","1.0"
"2021","2.5"
"2022","7.9"
"2023","6.8"
"2024","3.3"
"2025","3.9"
"1989 Q1","5.8"
"1989 Q2","5.8"
"1989 Q3","5.6"
"1989 Q4","5.7"
"1990 Q1","6.1"
"1990 Q2","8.0"
"1990 Q3","8.8"
"1990 Q4","9.2"
"1991 Q1","8.4"
"1991 Q2","7.7"
"1991 Q3","7.3"
"1991 Q4","6.5"
"1992 Q1","6.3"
"1992 Q2","5.0"
"1992 Q3","4.0"
"1992 Q4","3.3"
"1993 Q1","3.1"
"1993 Q2","2.3"
"1993 Q3","2.5"
"1993 Q4","2.2"
"1994 Q1","2.4"
"1994 Q2","2.4"
"1994 Q3","2.1"
"1994 Q4","2.1"
"1995 Q1","2.4"
"1995 Q2","2.5"
"1995 Q3","2.9"
"1995 Q4","3.0"
"1996 Q1","3.0"
"1996 Q2","2.8"
"1996 Q3","2.7"
"1996 Q4","2.9"
"1997 Q1","2.4"
"1997 Q2","2.1"
"1997 Q3","2.3"
"1997 Q4","2.1"
"1998 Q1","1.8"
"1998 Q2","2.0"
"1998 Q3","1.7"
"1998 Q4","1.7"
"1999 Q1","2.0"
"1999 Q2","1.8"
"1999 Q3","1.6"
"1999 Q4","1.5"
"2000 Q1","1.1"
"2000 Q2","1.0"
"2000 Q3","1.2"
"2000 Q4","1.4"
"2001 Q1","1.3"
"2001 Q2","1.8"
"2001 Q3","1.8"
"2001 Q4","1.4"
"2002 Q1","1.7"
"2002 Q2","1.3"
"2002 Q3","1.3"
"2002 Q4","1.6"
"2003 Q1","1.5"
"2003 Q2","1.3"
"2003 Q3","1.4"
"2003 Q4","1.3"
"2004 Q1","1.3"
"2004 Q2","1.3"
"2004 Q3","1.3"
"2004 Q4","1.5"
"2005 Q1","1.8"
"2005 Q2","1.9"
"2005 Q3","2.4"
"2005 Q4","2.2"
"2006 Q1","2.1"
"2006 Q2","2.4"
"2006 Q3","2.5"
"2006 Q4","2.7"
"2007 Q1","2.8"
"2007 Q2","2.6"
"2007 Q3","2.0"
"2007 Q4","2.3"
"2008 Q1","2.5"
"2008 Q2","3.3"
"2008 Q3","4.5"
"2008 Q4","3.7"
"2009 Q1","2.9"
"2009 Q2","2.0"
"2009 Q3","1.4"
"2009 Q4","1.6"
"2010 Q1","2.4"
"2010 Q2","2.5"
"2010 Q3","2.3"
"2010 Q4","2.7"
"2011 Q1","3.5"
"2011 Q2","3.8"
"2011 Q3","4.0"
"2011 Q4","4.0"
"2012 Q1","3.1"
"2012 Q2","2.5"
"2012 Q3","2.2"
"2012 Q4","2.4"
"2013 Q1","2.5"
"2013 Q2","2.4"
"2013 Q3","2.4"
"2013 Q4","1.9"
"2014 Q1","1.6"
"2014 Q2","1.6"
"2014 Q3","1.5"
"2014 Q4","1.1"
"2015 Q1","0.4"
"2015 Q2","0.3"
"2015 Q3","0.4"
"2015 Q4","0.4"
"2016 Q1","0.7"
"2016 Q2","0.7"
"2016 Q3","1.0"
"2016 Q4","1.5"
"2017 Q1","2.2"
"2017 Q2","2.6"
"2017 Q3","2.7"
"2017 Q4","2.8"
"2018 Q1","2.5"
"2018 Q2","2.2"
"2018 Q3","2.3"
"2018 Q4","2.1"
"2019 Q1","1.8"
"2019 Q2","2.0"
"2019 Q3","1.8"
"2019 Q4","1.4"
"2020 Q1","1.7"
"2020 Q2","0.8"
"2020 Q3","0.8"
"2020 Q4","0.8"
"2021 Q1","0.9"
"2021 Q2","2.1"
"2021 Q3","2.7"
"2021 Q4","4.4"
"2022 Q1","5.5"
"2022 Q2","7.9"
"2022 Q3","8.7"
"2022 Q4","9.4"
"2023 Q1","9.0"
"2023 Q2","7.7"
"2023 Q3","6.3"
"2023 Q4","4.4"
"2024 Q1","3.9"
"2024 Q2","2.9"
"2024 Q3","2.9"
"2024 Q4","3.4"
"2025 Q1","3.6"
"2025 Q2","4.1"
"2025 Q3","4.1"
"2025 Q4","3.6"
"1989 JAN","5.7"
"1989 FEB","5.8"
"1989 MAR","5.9"
"1989 APR","5.6"
"1989 MAY","5.9"
"1989 JUN","5.8"
"1989 JUL","5.7"
"1989 AUG","5.5"
"1989 SEP","5.7"
"1989 OCT","5.8"
"1989 NOV","5.7"
"1989 DEC","5.8"
"1990 JAN","5.9"
"1990 FEB","6.3"
"1990 MAR","6.2"
"1990 APR","7.7"
"1990 MAY","8.2"
"1990 JUN","8.2"
"1990 JUL","8.2"
"1990 AUG","8.9"
"1990 SEP","9.2"
"1990 OCT","9.2"
"1990 NOV","9.2"
"1990 DEC","9.2"
"1991 JAN","8.6"
"1991 FEB","8.2"
"1991 MAR","8.3"
"1991 APR","8.0"
"1991 MAY","7.5"
"1991 JUN","7.7"
"1991 JUL","7.5"
"1991 AUG","7.5"
"1991 SEP","6.9"
"1991 OCT","6.5"
"1991 NOV","6.5"
"1991 DEC","6.5"
"1992 JAN","6.2"
"1992 FEB","6.3"
"1992 MAR","6.2"
"1992 APR","5.2"
"1992 MAY","5.1"
"1992 JUN","4.6"
"1992 JUL","4.5"
"1992 AUG","3.7"
"1992 SEP","3.7"
"1992 OCT","3.5"
"1992 NOV","3.3"
"1992 DEC","3.2"
"1993 JAN","3.0"
"1993 FEB","3.1"
"1993 MAR","3.2"
"1993 APR","2.6"
"1993 MAY","2.3"
"1993 JUN","2.2"
"1993 JUL","2.3"
"1993 AUG","2.6"
"1993 SEP","2.7"
"1993 OCT","2.4"
"1993 NOV","2.1"
"1993 DEC","2.3"
"1994 JAN","2.6"
"1994 FEB","2.4"
"1994 MAR","2.2"
"1994 APR","2.4"
"1994 MAY","2.4"
"1994 JUN","2.3"
"1994 JUL","2.1"
"1994 AUG","2.2"
"1994 SEP","1.9"
"1994 OCT","1.8"
"1994 NOV","2.1"
"1994 DEC","2.2"
"1995 JAN","2.4"
"1995 FEB","2.3"
"1995 MAR","2.4"
"1995 APR","2.3"
"1995 MAY","2.6"
"1995 JUN","2.7"
"1995 JUL","2.8"
"1995 AUG","2.7"
"1995 SEP","3.0"
"1995 OCT","3.0"
"1995 NOV","2.9"
"1995 DEC","3.1"
"1996 JAN","2.9"
"1996 FEB","3.0"
"1996 MAR","3.0"
"1996 APR","2.8"
"1996 MAY","2.8"
"1996 JUN","2.8"
"1996 JUL","2.7"
"1996 AUG","2.7"
"1996 SEP","2.7"
"1996 OCT","3.0"
"1996 NOV","3.1"
"1996 DEC","2.8"
"1997 JAN","2.6"
"1997 FEB","2.4"
"1997 MAR","2.2"
"1997 APR","2.1"
"1997 MAY","2.1"
"1997 JUN","2.1"
"1997 JUL","2.4"
"1997 AUG","2.3"
"1997 SEP","2.2"
"1997 OCT","2.2"
"1997 NOV","2.1"
"1997 DEC","1.9"
"1998 JAN","1.8"
"1998 FEB","1.8"
"1998 MAR","1.9"
"1998 APR","2.1"
"1998 MAY","2.2"
"1998 JUN","1.9"
"1998 JUL","1.7"
"1998 AUG","1.6"
"1998 SEP","1.7"
"1998 OCT","1.6"
"1998 NOV","1.7"
"1998 DEC","1.9"
"1999 JAN","2.0"
"1999 FEB","1.9"
"1999 MAR","2.1"
"1999 APR","2.0"
"1999 MAY","1.7"
"1999 JUN","1.8"
"1999 JUL","1.7"
"1999 AUG","1.6"
"1999 SEP","1.6"
"1999 OCT","1.5"
"1999 NOV","1.5"
"1999 DEC","1.5"
"2000 JAN","1.2"
"2000 FEB","1.2"
"2000 MAR","1.0"
"2000 APR","0.9"
"2000 MAY","1.0"
"2000 JUN","1.2"
"2000 JUL","1.2"
"2000 AUG","1.0"
"2000 SEP","1.3"
"2000 OCT","1.4"
"2000 NOV","1.5"
"2000 DEC","1.2"
"2001 JAN","1.2"
"2001 FEB","1.2"
"2001 MAR","1.3"
"2001 APR","1.5"
"2001 MAY","1.9"
"2001 JUN","1.9"
"2001 JUL","1.7"
"2001 AUG","2.1"
"2001 SEP","1.7"
"2001 OCT","1.6"
"2001 NOV","1.2"
"2001 DEC","1.4"
"2002 JAN","1.8"
"2002 FEB","1.7"
"2002 MAR","1.7"
"2002 APR","1.6"
"2002 MAY","1.2"
"2002 JUN","1.1"
"2002 JUL","1.4"
"2002 AUG","1.3"
"2002 SEP","1.2"
"2002 OCT","1.5"
"2002 NOV","1.6"
"2002 DEC","1.7"
"2003 JAN","1.4"
"2003 FEB","1.6"
"2003 MAR","1.6"
"2003 APR","1.5"
"2003 MAY","1.3"
"2003 JUN","1.2"
"2003 JUL","1.3"
"2003 AUG","1.4"
"2003 SEP","1.3"
"2003 OCT","1.3"
"2003 NOV","1.3"
"2003 DEC","1.3"
"2004 JAN","1.5"
"2004 FEB","1.4"
"2004 MAR","1.2"
"2004 APR","1.1"
"2004 MAY","1.4"
"2004 JUN","1.5"
"2004 JUL","1.4"
"2004 AUG","1.4"
"2004 SEP","1.2"
"2004 OCT","1.3"
"2004 NOV","1.5"
"2004 DEC","1.8"
"2005 JAN","1.7"
"2005 FEB","1.7"
"2005 MAR","2.0"
"2005 APR","1.9"
"2005 MAY","1.9"
"2005 JUN","2.0"
"2005 JUL","2.3"
"2005 AUG","2.4"
"2005 SEP","2.5"
"2005 OCT","2.4"
"2005 NOV","2.2"
"2005 DEC","2.1"
"2006 JAN","2.2"
"2006 FEB","2.2"
"2006 MAR","2.0"
"2006 APR","2.2"
"2006 MAY","2.4"
"2006 JUN","2.6"
"2006 JUL","2.5"
"2006 AUG","2.6"
"2006 SEP","2.5"
"2006 OCT","2.5"
"2006 NOV","2.8"
"2006 DEC","2.9"
"2007 JAN","2.7"
"2007 FEB","2.7"
"2007 MAR","2.9"
"2007 APR","2.7"
"2007 MAY","2.5"
"2007 JUN","2.5"
"2007 JUL","2.0"
"2007 AUG","2.0"
"2007 SEP","2.0"
"2007 OCT","2.3"
"2007 NOV","2.2"
"2007 DEC","2.3"
"2008 JAN","2.4"
"2008 FEB","2.6"
"2008 MAR","2.6"
"2008 APR","3.0"
"2008 MAY","3.3"
"2008 JUN","3.7"
"2008 JUL","4.2"
"2008 AUG","4.4"
"2008 SEP","4.8"
"2008 OCT","4.2"
"2008 NOV","3.8"
"2008 DEC","3.0"
"2009 JAN","2.9"
"2009 FEB","3.1"
"2009 MAR","2.8"
"2009 APR","2.3"
"2009 MAY","2.1"
"2009 JUN","1.7"
"2009 JUL","1.6"
"2009 AUG","1.4"
"2009 SEP","1.0"
"2009 OCT","1.2"
"2009 NOV","1.5"
"2009 DEC","2.1"
"2010 JAN","2.6"
"2010 FEB","2.1"
"2010 MAR","2.4"
"2010 APR","2.7"
"2010 MAY","2.5"
"2010 JUN","2.4"
"2010 JUL","2.3"
"2010 AUG","2.4"
"2010 SEP","2.4"
"2010 OCT","2.5"
"2010 NOV","2.6"
"2010 DEC","3.1"
"2011 JAN","3.4"
"2011 FEB","3.7"
"2011 MAR","3.5"
"2011 APR","3.8"
"2011 MAY","3.8"
"2011 JUN","3.6"
"2011 JUL","3.8"
"2011 AUG","3.9"
"2011 SEP","4.5"
"2011 OCT","4.3"
"2011 NOV","4.1"
"2011 DEC","3.7"
"2012 JAN","3.2"
"2012 FEB","3.1"
"2012 MAR","3.1"
"2012 APR","2.8"
"2012 MAY","2.5"
"2012 JUN","2.3"
"2012 JUL","2.4"
"2012 AUG","2.3"
"2012 SEP","2.1"
"2012 OCT","2.4"
"2012 NOV","2.4"
"2012 DEC","2.4"
"2013 JAN","2.4"
"2013 FEB","2.5"
"2013 MAR","2.5"
"2013 APR","2.2"
"2013 MAY","2.4"
"2013 JUN","2.6"
"2013 JUL","2.5"
"2013 AUG","2.4"
"2013 SEP","2.4"
"2013 OCT","2.0"
"2013 NOV","1.9"
"2013 DEC","1.9"
"2014 JAN","1.8"
"2014 FEB","1.6"
"2014 MAR","1.5"
"2014 APR","1.7"
"2014 MAY","1.5"
"2014 JUN","1.8"
"2014 JUL","1.6"
"2014 AUG","1.5"
"2014 SEP","1.3"
"2014 OCT","1.3"
"2014 NOV","1.1"
"2014 DEC","0.7"
"2015 JAN","0.5"
"2015 FEB","0.4"
"2015 MAR","0.3"
"2015 APR","0.3"
"2015 MAY","0.4"
"2015 JUN","0.3"
"2015 JUL","0.5"
"2015 AUG","0.4"
"2015 SEP","0.2"
"2015 OCT","0.2"
"2015 NOV","0.4"
"2015 DEC","0.5"
"2016 JAN","0.6"
"2016 FEB","0.6"
"2016 MAR","0.8"
"2016 APR","0.7"
"2016 MAY","0.7"
"2016 JUN","0.8"
"2016 JUL","0.9"
"2016 AUG","1.0"
"2016 SEP","1.3"
"2016 OCT","1.3"
"2016 NOV","1.5"
"2016 DEC","1.8"
"2017 JAN","1.9"
"2017 FEB","2.3"
"2017 MAR","2.3"
"2017 APR","2.6"
"2017 MAY","2.7"
"2017 JUN","2.6"
"2017 JUL","2.6"
"2017 AUG","2.7"
"2017 SEP","2.8"
"2017 OCT","2.8"
"2017 NOV","2.8"
"2017 DEC","2.7"
"2018 JAN","2.7"
"2018 FEB","2.5"
"2018 MAR","2.3"
"2018 APR","2.2"
"2018 MAY","2.3"
"2018 JUN","2.3"
"2018 JUL","2.3"
"2018 AUG","2.4"
"2018 SEP","2.2"
"2018 OCT","2.2"
"2018 NOV","2.2"
"2018 DEC","2.0"
"2019 JAN","1.8"
"2019 FEB","1.8"
"2019 MAR","1.8"
"2019 APR","2.0"
"2019 MAY","1.9"
"2019 JUN","1.9"
"2019 JUL","2.0"
"2019 AUG","1.7"
"2019 SEP","1.7"
"2019 OCT","1.5"
"2019 NOV","1.5"
"2019 DEC","1.4"
"2020 JAN","1.8"
"2020 FEB","1.7"
"2020 MAR","1.5"
"2020 APR","0.9"
"2020 MAY","0.7"
"2020 JUN","0.8"
"2020 JUL","1.1"
"2020 AUG","0.5"
"2020 SEP","0.7"
"2020 OCT","0.9"
"2020 NOV","0.6"
"2020 DEC","0.8"
"2021 JAN","0.9"
"2021 FEB","0.7"
"2021 MAR","1.0"
"2021 APR","1.6"
"2021 MAY","2.1"
"2021 JUN","2.4"
"2021 JUL","2.1"
"2021 AUG","3.0"
"2021 SEP","2.9"
"2021 OCT","3.8"
"2021 NOV","4.6"
"2021 DEC","4.8"
"2022 JAN","4.9"
"2022 FEB","5.5"
"2022 MAR","6.2"
"2022 APR","7.8"
"2022 MAY","7.9"
"2022 JUN","8.2"
"2022 JUL","8.8"
"2022 AUG","8.6"
"2022 SEP","8.8"
"2022 OCT","9.6"
"2022 NOV","9.3"
"2022 DEC","9.2"
"2023 JAN","8.8"
"2023 FEB","9.2"
"2023 MAR","8.9"
"2023 APR","7.8"
"2023 MAY","7.9"
"2023 JUN","7.3"
"2023 JUL","6.4"
"2023 AUG","6.3"
"2023 SEP","6.3"
"2023 OCT","4.7"
"2023 NOV","4.2"
"2023 DEC","4.2"
"2024 JAN","4.2"
"2024 FEB","3.8"
"2024 MAR","3.8"
"2024 APR","3.0"
"2024 MAY","2.8"
"2024 JUN","2.8"
"2024 JUL","3.1"
"2024 AUG","3.1"
"2024 SEP","2.6"
"2024 OCT","3.2"
"2024 NOV","3.5"
"2024 DEC","3.5"
"2025 JAN","3.9"
"2025 FEB","3.7"
"2025 MAR","3.4"
"2025 APR","4.1"
"2025 MAY","4.0"
"2025 JUN","4.1"
"2025 JUL","4.2"
"2025 AUG","4.1"
"2025 SEP","4.1"
"2025 OCT","3.8"
"2025 NOV","3.5"
"2025 DEC","3.6"
"2026 JAN","3.2"
