year,region_name,cars_and_taxis,buses_and_coaches
2023,South West,26570500000,167300000
2023,East Midlands,22058800000,197100000
2023,Scotland,21979300000,281800000
2023,Wales,14263800000,109500000
2023,North West,27723700000,1.55E+08
2023,London,1.46E+10,2.53E+08
2023,East of England,28290700000,1.62E+08
2023,Yorkshire and the Humber,2.09E+10,151700000
2023,South East,40593600000,1.99E+08
2023,West Midlands,24387700000,120800000
2023,North East,9933300000,122100000
2023,All,251299700000,1918500000
2024,South West,26973900000,170300000
2024,East Midlands,22441400000,197900000
2024,Scotland,22438600000,283600000
2024,Wales,14494300000,111600000
2024,North West,28589100000,159800000
2024,London,14726900000,258100000
2024,East of England,28721900000,163500000
2024,Yorkshire and the Humber,21202600000,153500000
2024,South East,41333100000,204100000
2024,West Midlands,24972700000,1.23E+08
2024,North East,10235200000,1.25E+08
2024,All,256129700000,1950400000